"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"S11630101100309","0","6","3","1","1","0","0","2","2","0","3","0"
"S11630101100113","0","5","4","3","3","1","2","4","1","2","2","3"
"S11630103101708","0","10","16","24","38","81","86","83","77","74","83","64"
"S11630103101817","0","3","18","11","8","7","11","7","18","7","9","5"
"S11630101100102","0","4","6","4","7","0","6","3","2","1","1","0"
"S11630101100115","0","4","3","9","3","3","8","3","3","1","1","3"
"S11630101100126","0","6","8","9","8","7","3","13","5","5","6","2"
"S11630101100124","0","4","3","3","4","1","2","4","3","4","1","0"
"S11630101100108","0","2","2","15","11","11","13","1","2","10","4","2"
"S11630101100109","0","17","7","14","9","9","18","7","13","10","10","8"
"S11630303106218","0","4","4","5","5","8","0","1","0","2","3","2"
"S11630301105004","0","3","9","17","13","6","2","8","7","3","6","2"
"S11630101100101","0","4","2","6","7","1","4","2","3","0","1","0"
"S11630101100103","0","3","10","14","8","8","6","7","4","9","14","3"
"S11630101100110","0","5","4","3","3","4","7","6","5","4","2","2"
"S11630101100104","0","5","5","8","14","7","2","4","2","1","5","6"
"S11630101100105","0","3","1","6","16","10","5","6","3","9","8","6"
"S11630101100106","0","0","2","3","5","1","4","1","4","0","1","3"
"S11630101100107","0","3","3","8","6","2","1","4","3","4","5","1"
"S11630101100116","0","20","9","10","31","39","27","61","97","55","69","38"
"S11630202102904","0","6","3","3","1","3","4","7","11","2","4","1"
"S11630202103418","0","8","8","11","12","6","12","5","1","3","10","1"
"S11631003128743","0","6","2","12","7","8","8","8","6","11","5","2"
"S11631003128744","0","11","5","10","7","9","10","9","10","8","7","2"
"S11631102130729","0","2","14","8","31","13","12","2","8","13","8","9"
"S11630303106216","0","0","1","2","5","5","1","2","3","8","4","1"
"S11630306107904","0","17","9","11","13","9","46","45","22","29","26","16"
"S11631102130730","0","1","3","10","5","10","2","0","0","9","4","1"
"S11630101100423","0","3","9","7","10","3","4","4","1","5","7","3"
"S11631106133628","0","21","27","25","30","57","61","40","45","73","61","26"
"S11630401108305","0","6","2","7","8","7","4","12","2","8","4","0"
"S11630101100332","0","3","2","2","10","6","4","4","3","2","1","0"
"S11630201102210","0","3","4","0","2","3","4","3","1","7","4","2"
"S11630102100731","0","9","8","9","7","19","9","3","7","2","5","3"
"S11630203103918","0","5","16","17","13","6","7","8","7","13","12","5"
"S11630204104610","0","10","9","12","10","13","34","30","29","23","26","12"
"S11630301104723","0","3","6","9","3","8","4","3","3","3","6","2"
"S11630201102228","0","22","39","24","28","32","46","27","35","35","51","29"
"S11630501110927","0","8","4","12","5","4","5","5","5","6","1","0"
"S11630301104724","0","5","9","14","3","6","4","5","11","6","4","8"
"S11630301104725","0","3","0","5","7","2","4","1","1","4","3","2"
"S11630305107612","0","3","15","11","4","19","11","15","18","13","13","7"
"S11630204104417","0","2","10","1","2","3","5","3","3","5","17","5"
"S11630203104002","0","2","7","8","5","7","7","2","4","11","7","4"
"S11630301104911","0","2","5","3","5","5","1","3","4","4","2","1"
"S11630202103102","0","4","5","8","9","10","3","8","16","12","12","5"
"S11630301104912","0","4","7","4","10","4","5","3","9","5","3","3"
"S11630302105310","0","12","7","6","19","20","41","84","96","92","126","55"
"S11631403139107","0","5","5","6","5","5","8","9","17","18","8","6"
"S11631003128714","0","17","15","19","22","45","57","27","26","34","24","27"
"S11630204104130","0","16","13","5","9","10","8","11","11","1","6","2"
"S11630306107712","0","1","7","7","8","6","3","10","13","12","13","4"
"S11630502111511","0","16","8","8","11","8","14","9","9","10","11","11"
"S11630204104131","0","9","16","17","19","13","5","8","9","10","10","5"
"S11631403139417","0","1","1","2","0","2","3","1","5","1","1","2"
"S11631305137807","0","9","7","5","3","6","6","7","4","1","3","3"
"S11630101100319","0","4","7","3","4","7","8","10","3","6","2","4"
"S11630204104132","0","4","2","4","0","1","4","5","6","5","8","1"
"S11630204104532","0","0","0","0","0","0","0","2","1","1","5","1"
"S11630302105409","0","11","4","6","15","31","24","13","13","27","13","14"
"S11630302105606","0","6","8","3","0","6","4","2","3","9","2","2"
"S11630303106217","0","11","16","19","14","36","6","15","26","17","18","11"
"S11630204104608","0","21","20","17","9","36","32","27","33","22","41","43"
"S11630101100127","0","3","10","6","3","4","3","3","1","1","2","0"
"S11630103102106","0","7","6","6","2","3","6","8","5","3","18","9"
"S11630101100117","0","8","10","12","11","19","24","17","12","12","17","12"
"S11630101100118","0","2","2","18","9","10","10","21","16","6","10","3"
"S11630101100119","0","3","6","6","5","10","3","3","3","2","2","5"
"S11630101100120","0","18","34","17","17","26","11","13","3","8","17","4"
"S11630101100121","0","3","5","15","8","7","6","9","6","4","4","1"
"S11630101100122","0","5","2","3","3","2","1","3","3","1","3","0"
"S11630101100135","0","1","2","5","3","4","7","3","1","2","3","0"
"S11630101100136","0","3","4","3","5","3","4","2","7","0","0","2"
"S11630101100137","0","4","9","7","9","8","1","5","2","7","3","2"
"S11630101100138","0","1","4","0","3","5","2","6","2","3","2","0"
"S11630101100139","0","3","1","1","7","4","1","3","5","1","5","0"
"S11630101100140","0","4","11","13","4","6","0","2","4","0","2","3"
"S11630101100141","0","3","5","8","2","0","10","0","1","1","2","1"
"S11630101100142","0","4","7","5","8","4","4","7","3","3","5","4"
"S11630101100202","0","3","1","7","3","12","5","4","4","3","14","1"
"S11630101100143","0","1","2","1","0","0","0","1","1","2","0","0"
"S11630101100144","0","1","1","0","0","0","1","0","0","1","0","1"
"S11630101100304","0","8","12","6","8","12","7","7","10","12","10","1"
"S11630101100145","0","38","30","27","28","12","23","15","17","7","11","6"
"S11630101100201","0","7","9","10","19","26","18","11","12","8","13","4"
"S11630101100203","0","8","12","9","12","13","16","8","7","7","6","0"
"S11630101100204","0","34","32","34","58","91","105","55","79","113","105","62"
"S11630101100205","0","13","4","6","7","7","1","2","6","3","1","4"
"S11630101100216","0","3","3","0","1","3","2","0","2","2","4","1"
"S11630301105120","0","4","5","1","4","1","2","1","7","5","2","3"
"S11630101100303","0","9","14","12","12","12","19","27","15","20","10","7"
"S11630101100206","0","11","9","9","12","17","15","11","6","12","7","7"
"S11630101100208","0","4","1","5","3","7","5","1","3","1","0","0"
"S11630101100123","0","7","11","8","13","15","12","7","7","16","15","1"
"S11630101100125","0","24","43","35","34","61","50","45","25","28","26","29"
"S11630101100128","0","1","5","7","6","5","4","2","6","5","1","4"
"S11630101100129","0","0","2","3","4","4","4","3","5","3","5","2"
"S11630101100130","0","5","4","4","5","18","11","8","2","2","11","4"
"S11630101100131","0","6","8","7","6","7","2","4","5","0","7","1"
"S11630101100132","0","1","1","4","4","4","8","2","4","5","7","3"
"S11630101100133","0","3","7","9","5","18","11","7","0","2","6","4"
"S11630101100134","0","4","4","10","1","2","4","11","0","3","3","0"
"S11630101100209","0","8","2","6","3","4","4","8","20","25","35","12"
"S11630101100210","0","7","9","2","5","7","3","2","2","4","2","11"
"S11630101100211","0","3","4","8","5","2","6","2","1","2","5","1"
"S11630101100212","0","5","4","3","2","1","5","3","6","5","7","2"
"S11630101100213","0","2","7","10","4","5","6","6","11","11","8","7"
"S11630101100214","0","3","4","2","5","4","2","4","2","2","2","0"
"S11630101100215","0","5","1","4","3","5","6","3","12","0","0","2"
"S11630101100305","0","12","7","9","17","15","12","8","10","18","19","18"
"S11630101100217","0","17","15","13","8","11","8","8","10","7","11","8"
"S11630101100218","0","11","5","4","5","14","12","11","6","8","8","3"
"S11630101100219","0","11","12","7","10","14","13","7","2","7","11","4"
"S11630101100220","0","6","2","4","7","2","10","4","0","7","7","0"
"S11630101100221","0","3","3","1","7","3","0","2","1","1","1","2"
"S11630101100301","0","6","7","14","10","5","4","6","6","7","13","4"
"S11630101100302","0","8","3","3","6","4","7","6","7","4","5","3"
"S11630101100306","0","2","2","12","3","4","0","4","10","7","1","1"
"S11630101100310","0","5","0","1","3","7","2","2","5","1","2","1"
"S11630101100311","0","16","11","18","17","82","21","53","51","25","38","17"
"S11630101100312","0","1","1","1","1","3","3","2","4","1","2","0"
"S11630101100313","0","5","6","8","4","5","3","3","3","2","4","1"
"S11630101100314","0","9","1","7","2","5","5","5","4","2","2","1"
"S11630101100411","0","8","7","13","13","17","15","9","9","13","21","7"
"S11630101100509","0","5","3","0","4","2","4","3","6","2","4","1"
"S11630101100412","0","9","1","9","6","1","2","4","1","3","9","0"
"S11630101100415","0","1","4","6","5","2","1","2","1","1","0","1"
"S11630101100416","0","2","0","3","5","12","4","1","4","5","0","1"
"S11630101100417","0","2","2","11","6","5","1","4","3","0","3","0"
"S11630101100418","0","1","2","7","1","0","2","2","0","2","0","1"
"S11630101100443","0","5","2","8","12","11","4","9","1","6","1","7"
"S11630101100419","0","0","0","4","3","4","2","0","4","0","2","3"
"S11630101100420","0","2","2","4","2","4","4","3","5","6","12","4"
"S11630101100421","0","3","8","9","11","7","6","4","3","5","0","2"
"S11630101100422","0","1","0","1","2","2","0","0","4","4","1","1"
"S11630101100425","0","3","1","7","2","2","0","3","1","6","1","0"
"S11630101100426","0","5","0","8","0","10","3","4","3","2","6","0"
"S11630101100427","0","12","13","20","9","13","4","6","6","16","12","5"
"S11630101100428","0","3","5","11","1","0","3","2","1","8","8","0"
"S11630101100429","0","1","6","6","1","6","4","3","6","3","1","0"
"S11630101100430","0","3","4","1","3","6","7","1","6","1","11","0"
"S11630101100431","0","0","2","0","1","3","1","4","3","2","5","2"
"S11630101100432","0","8","3","5","12","9","8","11","2","9","12","18"
"S11630101100433","0","24","15","15","12","8","7","9","12","5","10","4"
"S11630101100434","0","5","5","9","17","4","5","6","10","4","4","4"
"S11630101100435","0","0","1","5","4","3","5","3","8","4","4","1"
"S11630101100436","0","6","3","13","15","6","2","3","2","4","0","0"
"S11630101100444","0","2","5","3","5","6","1","3","6","2","2","1"
"S11630101100315","0","7","0","9","0","4","1","7","6","3","3","1"
"S11630101100316","0","3","5","4","11","6","6","3","2","1","7","3"
"S11630101100317","0","10","5","8","5","5","7","5","1","4","5","2"
"S11630101100318","0","15","8","9","3","6","4","9","4","7","1","2"
"S11630101100321","0","5","6","13","8","2","7","6","7","2","2","1"
"S11630101100322","0","0","6","9","6","1","1","2","1","3","1","0"
"S11630101100323","0","0","4","5","6","2","0","3","5","8","3","3"
"S11630101100331","0","2","2","4","6","1","0","4","0","1","2","1"
"S11630101100324","0","5","3","1","4","4","4","4","3","2","5","2"
"S11630101100325","0","2","11","6","5","5","7","4","6","9","5","6"
"S11630101100334","0","13","12","12","11","21","24","37","26","21","12","9"
"S11630101100335","0","5","4","14","11","6","12","4","4","10","11","0"
"S11630101100326","0","6","3","3","3","7","5","2","1","2","4","0"
"S11630101100327","0","6","5","4","2","7","0","1","3","4","3","0"
"S11630101100328","0","2","4","2","14","5","2","3","3","0","0","0"
"S11630101100329","0","12","2","3","6","4","7","8","6","6","3","1"
"S11630101100330","0","1","2","1","6","3","4","5","2","1","2","2"
"S11630101100336","0","21","23","50","27","21","22","22","19","22","15","10"
"S11630101100401","0","6","3","9","6","13","9","4","2","2","3","2"
"S11630101100402","0","8","8","12","11","9","6","13","6","4","11","3"
"S11630101100403","0","123","104","106","141","114","110","80","172","131","183","77"
"S11630101100404","0","9","7","6","10","5","2","7","4","8","13","6"
"S11630101100405","0","5","1","2","3","5","1","3","5","4","2","0"
"S11630101100406","0","8","5","6","6","3","4","1","4","5","2","1"
"S11630103101709","0","2","12","12","13","13","10","10","6","7","8","2"
"S11630101100413","0","4","1","7","8","1","1","1","2","1","3","2"
"S11630101100414","0","3","5","4","4","5","1","1","1","0","0","2"
"S11630101100424","0","5","3","8","7","0","3","1","1","0","1","0"
"S11630101100407","0","158","256","187","247","271","203","135","190","212","230","100"
"S11630101100408","0","24","14","22","7","42","18","7","11","14","18","17"
"S11630101100409","0","5","5","12","11","17","23","8","7","14","15","4"
"S11630101100410","0","4","6","11","14","14","18","9","9","5","9","10"
"S11630101100609","0","2","4","5","6","4","10","12","3","3","3","1"
"S11630101100437","0","55","57","75","87","79","57","62","87","102","84","74"
"S11630101100438","0","14","6","11","14","14","8","13","17","18","21","11"
"S11630101100439","0","6","6","9","12","7","2","5","2","2","8","0"
"S11630101100610","0","7","7","6","1","2","3","4","2","8","0","0"
"S11630101100440","0","12","10","8","14","6","8","5","9","6","7","8"
"S11630101100507","0","22","15","10","9","14","11","10","6","10","6","7"
"S11630101100508","0","7","5","5","3","4","5","2","5","5","14","5"
"S11630101100510","0","24","16","10","13","18","13","11","14","10","46","25"
"S11630101100601","0","5","1","12","4","5","2","8","5","2","3","0"
"S11630101100602","0","2","2","0","6","3","1","3","2","2","2","1"
"S11630101100603","0","4","1","1","6","3","1","3","3","1","0","0"
"S11630101100611","0","4","4","3","12","11","2","5","3","3","6","2"
"S11630101100612","0","8","3","2","11","11","15","7","0","5","5","2"
"S11630101100613","0","5","4","8","8","8","7","2","2","1","2","0"
"S11630102100705","0","3","7","5","6","7","3","0","4","4","2","1"
"S11630101100615","0","4","6","11","14","16","16","18","12","16","12","3"
"S11630101100604","0","17","7","10","12","13","10","11","6","17","10","3"
"S11630101100605","0","7","12","10","8","16","8","8","9","13","4","1"
"S11630101100606","0","19","23","32","25","33","25","9","22","16","17","8"
"S11630101100607","0","1","4","6","5","7","5","4","3","1","5","1"
"S11630101100614","0","4","5","5","9","4","8","2","1","5","8","2"
"S11630101100616","0","1","8","3","6","7","11","6","3","8","4","1"
"S11630101100617","0","6","6","9","21","10","9","2","3","5","4","1"
"S11630101100618","0","1","4","12","6","5","2","3","1","6","4","1"
"S11630101100619","0","4","3","6","5","4","3","4","3","3","5","0"
"S11630101100620","0","3","1","1","5","1","0","1","3","1","2","2"
"S11630101100441","0","20","28","20","43","56","42","34","43","20","52","35"
"S11630101100442","0","27","19","15","25","24","15","13","21","24","25","13"
"S11630101100501","1","7","6","5","11","12","7","3","7","8","6","2"
"S11630101100502","0","11","2","2","9","4","8","4","6","5","5","4"
"S11630101100503","0","6","4","3","5","4","5","4","1","3","3","3"
"S11630101100504","0","1","2","4","7","7","3","3","3","4","1","0"
"S11630101100505","0","2","5","2","4","5","4","2","4","4","2","2"
"S11630101100506","0","5","1","2","2","1","1","1","0","2","3","0"
"S11630101100621","0","1","6","3","8","5","10","5","1","2","6","1"
"S11630101100622","0","3","6","3","5","2","4","4","1","3","1","1"
"S11630101100623","0","10","6","13","8","13","14","9","5","5","5","2"
"S11630102100712","0","1","6","3","6","4","2","1","2","6","7","6"
"S11630102100713","0","9","16","8","20","13","10","15","15","8","11","13"
"S11630101100625","0","5","11","17","15","14","17","19","12","7","6","4"
"S11630102100704","0","6","8","11","11","19","13","4","6","5","6","2"
"S11630102100706","0","12","6","3","9","5","5","4","8","2","3","2"
"S11630102100714","0","9","12","9","5","9","12","15","12","7","7","8"
"S11630102100715","0","13","23","19","18","11","17","4","10","18","87","16"
"S11630102100717","0","0","3","3","1","5","29","54","91","32","20","18"
"S11630102100718","0","4","7","6","5","3","3","0","3","5","6","1"
"S11630102100719","0","4","6","5","3","6","5","4","2","6","4","3"
"S11630102100720","0","5","7","6","3","3","5","4","1","4","1","1"
"S11630102100721","0","6","9","8","5","11","7","6","3","6","5","2"
"S11630101100626","0","4","0","3","7","1","1","3","0","4","2","0"
"S11630102100803","0","4","10","7","7","5","2","1","5","0","1","3"
"S11630102100804","0","12","15","23","8","4","11","3","3","1","7","3"
"S11630102100805","0","7","5","6","9","1","8","0","3","1","3","1"
"S11630102100806","0","7","4","13","13","9","11","4","4","0","4","2"
"S11630102100808","0","11","10","19","18","14","26","16","17","13","5","6"
"S11630102100809","0","4","5","4","1","7","6","2","0","1","6","0"
"S11630102100811","0","5","3","6","8","5","7","5","4","2","4","0"
"S11630302105325","0","0","2","1","3","6","3","3","3","2","6","1"
"S11630102100812","0","13","14","6","10","12","11","7","2","9","7","4"
"S11630103101622","0","6","3","12","2","9","9","7","3","8","4","6"
"S11630102100813","0","5","8","17","11","13","11","9","15","13","16","6"
"S11630102100814","0","1","4","1","3","9","5","2","1","0","0","0"
"S11630102100815","0","14","6","7","8","12","9","4","3","4","3","3"
"S11630102100901","0","8","4","12","6","7","6","3","1","3","5","3"
"S11630202103423","0","15","14","22","13","11","17","16","20","14","12","7"
"S11630102100902","0","6","7","8","11","7","9","6","1","8","2","13"
"S11630102100903","0","8","8","9","15","4","14","8","3","4","10","2"
"S11630102101312","0","1","4","4","3","3","4","1","0","1","5","2"
"S11630102100904","0","36","29","26","21","26","20","8","20","27","32","19"
"S11630102100905","0","2","0","8","5","4","3","4","1","2","5","4"
"S11630102100906","0","12","2","14","16","5","8","8","5","7","5","1"
"S11630102100701","0","7","10","8","3","4","8","1","3","2","1","5"
"S11630102100702","0","2","6","2","11","3","2","0","0","0","0","0"
"S11630102100703","0","3","1","5","7","3","3","3","2","4","2","2"
"S11630102100707","0","16","25","15","29","59","46","41","13","16","7","10"
"S11630102100710","0","7","11","5","7","2","4","9","4","8","9","2"
"S11630102100711","0","5","5","2","3","10","5","1","4","4","0","1"
"S11630102100722","0","31","15","37","56","77","37","71","83","42","70","62"
"S11630102100723","0","7","4","14","8","11","9","1","5","2","7","7"
"S11630102100724","0","3","2","6","5","6","12","3","5","3","3","4"
"S11630102100732","1","12","14","17","12","14","11","5","12","5","3","6"
"S11630102101231","0","1","1","1","3","6","5","3","2","3","2","1"
"S11630102100725","0","56","48","51","45","34","36","43","31","43","60","26"
"S11630102100726","0","12","15","15","12","20","12","12","15","7","10","2"
"S11630102100727","0","98","102","94","86","120","87","58","70","54","84","31"
"S11630102100728","0","13","11","5","10","16","16","15","7","8","5","5"
"S11630102100730","0","5","11","12","11","16","17","3","1","12","10","9"
"S11630102101232","0","1","2","6","1","1","2","1","0","0","1","1"
"S11630102100729","0","9","8","14","27","12","23","10","20","7","14","8"
"S11630102100733","0","9","11","16","9","21","7","3","4","5","9","1"
"S11630102100734","0","19","19","12","11","16","24","13","19","23","25","14"
"S11630102100735","0","13","9","20","9","7","5","22","5","5","14","6"
"S11630102100736","0","4","19","12","7","10","10","5","1","4","4","11"
"S11630103101616","0","4","13","7","5","5","3","7","6","2","2","2"
"S11630102101209","0","3","5","9","4","2","2","2","8","6","1","0"
"S11630102100737","0","2","5","2","2","5","1","0","1","2","2","1"
"S11630103101615","0","9","10","15","9","13","4","7","11","5","9","5"
"S11630102100738","0","38","36","53","55","57","36","26","34","36","39","20"
"S11630102100801","0","0","8","3","4","5","9","3","3","3","3","2"
"S11630102100908","0","12","4","12","8","3","8","9","3","3","7","2"
"S11630102100909","0","2","2","1","7","6","7","9","11","2","4","0"
"S11630102100911","0","10","8","15","15","13","14","20","26","31","16","13"
"S11630102100914","0","1","5","13","7","12","15","10","8","9","15","5"
"S11630102100915","0","9","2","3","4","3","4","2","2","1","4","6"
"S11630102100916","0","3","5","4","3","5","8","10","7","3","2","2"
"S11630102100917","0","7","1","4","7","4","4","4","2","5","4","3"
"S11630102100920","0","8","2","4","9","2","16","2","2","3","2","3"
"S11630201102212","0","4","5","1","1","4","4","5","5","1","2","1"
"S11630102100910","0","1","9","9","3","5","4","0","8","4","5","4"
"S11630102100923","0","15","13","10","6","4","3","4","4","0","3","1"
"S11630102100924","0","11","12","7","7","11","6","3","1","2","2","2"
"S11630102100925","0","4","9","3","4","6","4","0","3","0","8","1"
"S11630102100926","0","8","13","9","5","15","15","3","6","6","7","1"
"S11630102101225","0","0","2","3","1","3","0","3","7","2","15","7"
"S11630102100927","0","78","66","112","66","72","54","49","46","66","72","55"
"S11630102100929","0","2","2","9","3","5","3","4","2","9","1","2"
"S11630102100930","0","7","2","5","2","6","2","7","4","4","16","5"
"S11630102100931","0","0","0","0","0","0","0","0","0","0","0","1"
"S11630102100932","0","5","6","3","4","7","3","3","4","2","3","3"
"S11630102100933","0","0","1","5","5","9","1","0","3","2","4","1"
"S11630102100934","0","8","4","0","0","12","5","1","2","7","3","3"
"S11630102100935","0","7","7","4","7","2","5","4","4","3","6","0"
"S11630102101101","0","2","0","5","13","8","13","7","5","4","3","2"
"S11630102101118","0","5","2","5","3","4","6","4","2","5","6","6"
"S11630102101102","0","3","5","2","10","14","3","10","5","3","13","6"
"S11630102101103","0","17","15","15","19","26","23","27","23","15","11","10"
"S11630102101314","0","7","4","15","7","8","8","5","10","6","10","6"
"S11630102101315","0","11","5","8","11","10","5","17","14","12","5","7"
"S11630102100912","0","7","3","2","4","0","11","6","4","1","0","1"
"S11630102100913","0","5","0","0","0","1","4","0","2","0","0","1"
"S11630102101210","0","5","9","7","9","10","9","6","2","4","4","1"
"S11630102100921","0","4","3","8","7","2","2","6","1","0","3","2"
"S11630102100928","0","6","8","7","3","7","7","6","12","12","18","7"
"S11630102100922","0","14","12","15","6","8","6","21","4","8","9","0"
"S11630102101105","0","1","3","5","8","5","6","6","1","0","1","1"
"S11630102101106","0","2","5","6","1","3","0","1","0","1","2","1"
"S11630102101107","0","4","3","1","3","2","1","0","3","11","4","4"
"S11630102101227","0","2","3","0","2","1","2","3","4","2","2","3"
"S11630102101108","0","0","2","1","3","2","1","0","5","4","5","1"
"S11630102101109","0","1","4","13","2","3","3","5","0","1","5","2"
"S11630103101710","0","4","15","7","18","23","9","5","5","10","12","7"
"S11630103101623","0","3","4","4","3","5","5","5","10","10","5","1"
"S11630102101110","0","7","3","9","7","5","5","6","5","3","5","1"
"S11630102101112","0","8","0","3","4","6","2","0","5","1","2","2"
"S11630102101114","0","14","4","7","5","3","6","3","2","4","3","1"
"S11630102101115","0","7","3","7","15","6","2","16","6","2","4","1"
"S11630102101116","0","4","1","10","12","4","5","3","3","7","10","2"
"S11630102101211","0","4","2","4","8","8","2","2","1","1","1","1"
"S11630102100907","0","10","11","4","6","6","5","6","5","2","15","26"
"S11630102101237","0","5","1","1","6","3","4","6","0","1","19","2"
"S11630102101302","0","35","26","41","61","49","54","40","44","30","32","25"
"S11630102101238","0","5","1","13","11","7","4","11","9","14","19","13"
"S11630102101301","0","0","5","6","3","10","6","2","4","1","2","1"
"S11630102101303","0","25","19","25","62","41","33","31","33","56","53","17"
"S11630102101304","0","4","6","3","12","4","3","3","5","1","9","1"
"S11630102101305","0","66","40","70","83","70","68","56","59","72","67","38"
"S11630102101306","0","4","15","8","44","33","29","24","21","29","33","16"
"S11630102101307","0","0","6","7","7","6","10","3","1","2","3","1"
"S11630102101308","0","8","12","13","10","12","10","13","4","19","11","5"
"S11630103101617","0","3","7","3","4","9","6","5","2","6","2","4"
"S11630102101309","0","3","2","1","1","6","3","3","5","9","13","6"
"S11630102101310","0","2","0","5","1","2","6","1","2","6","3","0"
"S11630102101311","0","1","4","17","1","0","13","5","4","1","0","2"
"S11630102101313","0","2","9","3","4","1","2","3","1","3","7","12"
"S11630103101508","0","4","1","6","8","6","15","9","2","7","5","6"
"S11630102152702","0","6","20","14","5","17","21","10","19","4","8","4"
"S11630103101603","0","9","10","16","12","26","13","23","30","25","33","12"
"S11630102152703","0","18","8","18","14","21","16","18","9","10","14","9"
"S11630102101316","0","4","0","1","5","0","2","7","1","1","2","1"
"S11630102101318","0","4","2","2","6","8","9","5","5","1","5","1"
"S11630102101319","0","3","4","5","3","5","7","1","3","4","1","1"
"S11630102101320","0","3","1","7","8","2","10","5","1","2","1","2"
"S11630102101321","0","1","3","2","1","0","5","0","1","1","2","0"
"S11630102101117","0","3","4","4","19","19","11","4","9","3","9","1"
"S11630102101119","0","2","5","6","8","13","9","6","4","7","10","2"
"S11630102101120","0","0","4","7","9","9","7","5","2","1","0","2"
"S11630102101121","0","0","1","6","3","14","14","7","13","7","10","4"
"S11630102101203","0","8","14","5","14","7","13","5","11","10","10","8"
"S11630102101204","1","2","2","3","4","0","5","3","1","2","4","3"
"S11630102101206","0","4","1","6","8","3","3","4","2","4","2","0"
"S11630102101202","0","4","5","4","6","9","4","5","4","16","3","3"
"S11630102101212","0","3","4","0","7","5","6","2","1","2","2","2"
"S11630102101208","0","6","4","5","6","4","5","2","1","1","0","1"
"S11630102101213","0","11","8","10","5","8","13","5","4","6","0","4"
"S11630102101214","0","0","0","0","6","0","5","1","3","3","1","0"
"S11630102101215","0","3","4","2","4","2","4","6","3","2","1","2"
"S11630102101216","0","1","1","2","2","2","5","0","10","8","4","0"
"S11630102101217","0","6","1","2","6","6","4","1","4","4","3","4"
"S11630102101218","0","5","2","1","2","5","2","1","1","2","2","2"
"S11630102101219","0","1","0","11","7","2","3","3","8","3","3","2"
"S11630102101220","0","7","1","5","6","1","2","1","1","3","1","1"
"S11630102101221","0","8","6","4","4","2","5","5","5","5","2","3"
"S11630102101222","0","2","1","4","2","2","0","4","1","3","3","0"
"S11630102101223","0","13","4","4","10","9","8","7","7","7","11","2"
"S11630102101224","0","7","2","0","4","3","1","2","5","0","1","0"
"S11630103101909","0","2","5","1","6","4","1","3","0","1","0","2"
"S11630102101228","0","3","1","3","5","5","6","3","2","3","4","4"
"S11630102101229","0","15","0","9","7","7","16","8","7","9","10","3"
"S11630102101233","0","0","5","4","3","3","2","1","2","3","1","2"
"S11630102101234","0","2","3","2","4","1","3","8","3","10","7","3"
"S11630102101235","0","0","0","3","4","7","7","4","0","0","3","2"
"S11630102101236","0","3","1","1","3","2","3","0","1","1","1","2"
"S11630102101330","0","5","1","6","1","9","7","7","7","3","7","5"
"S11630102101323","0","2","0","4","1","1","3","1","1","0","1","1"
"S11630102101324","0","8","6","4","11","5","9","9","6","4","6","0"
"S11630102101325","0","2","4","4","6","1","2","5","4","0","10","5"
"S11630102101326","0","5","6","10","5","6","4","2","2","5","5","0"
"S11630102101327","0","5","6","9","5","6","8","4","4","2","8","5"
"S11630102101338","0","2","2","3","8","2","4","1","3","2","3","0"
